,_unit_id,bodygraph,decision,modified bodygraph,new decision
320,1702137616,"Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler . Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . """,before,"Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . "" Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",after 
224,1702137405,"Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored . Northern Ireland 's World Cup qualifier with Russia has been postponed until 15:00 GMT Saturday due to heavy snow .",before,"Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored . Just before the blackout, Northern Ireland 's World Cup qualifier with Russia had been postponed until 15:00 GMT Saturday due to heavy snow .",after
295,1702137156,"Mr. Netanyahu 's office confirmed that the Israeli leader , in a conversation with Mr. Erdogan , "" agreed to restore normalization between Israel and Turkey , including the dispatch of ambassadors and the cancellation of legal steps against [ Israeli Defense Forces ] soldiers . """,after,"The Israeli leader with Mr. Erdogan , "" agreed to restore normalization between Israel and Turkey , including the dispatch of ambassadors and the cancellation of legal steps against [ Israeli Defense Forces ] soldiers "", as Mr. Netanyahu 's office confirmed .",before 
87,1702137233,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down . Starting next year , the law will block insurers from refusing to sell coverage or setting premiums based on people 's health histories , and will reduce their ability to set rates based on age .",before,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down . Before last year , the law had blocked insurers from refusing to sell coverage or setting premiums based on people 's health histories , and had reduced their ability to set rates based on age .",after
95,1702137716,"But academic researchers and scientists at companies like Microsoft , I.B.M. and Hewlett-Packard have been working to develop quantum computers . Now , Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale , becoming the first company to use quantum computing as part of its business .",before,"But academic researchers and scientists at companies like Microsoft , I.B.M. and Hewlett-Packard will soon work to develop quantum computers . Now , Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale , becoming the first company to use quantum computing as part of its business .",after
247,1702136978,"The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after,"The day after Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",vague
248,1702137223,The gulf between the pricing talk from some insurers and the government projections suggests how complicated the law 's effects will be . Carriers will be filing proposed prices with regulators over the next few months .,before,Carriers will be filing proposed prices with regulators over the next few months . The gulf between the pricing talk from some insurers and the government projections suggests how complicated the law 's effects will be .,after
123,1702137604,""" It is the first time ever that the leader of a euro zone country has admitted that he could not afford to pay the guarantee , "" Mr. Dor said .",before,"Mr. Dor said , "" It is the first time ever that the leader of a euro zone country has admitted that he could not afford to pay the guarantee . """,after
253,1702137251,"Family friend and historian Dr Huw Lewis-Jones paid tribute to a "" gentle soul and fine climber "" who shunned the limelight . Mr Lowe also took part in the trans-Antarctic expedition of 1957-58 , which made the first successful overland crossing of Antarctica via the South Pole .",after,"Mr Lowe also took part in the trans-Antarctic expedition of 1957-58 , which made the first successful overland crossing of Antarctica via the South Pole . Family friend and historian Dr Huw Lewis-Jones paid tribute to a "" gentle soul and fine climber "" who shunned the limelight .",before
160,1702137196,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations .",before,"Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations . Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement .",after
379,1702137332,"Nine people were killed on board the Turkish aid ship , Mavi Marmara , when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",before,"Nine people were killed on board the Turkish aid ship , Mavi Marmara , when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos planned to use lethal force because activists had attacked them .",after 
345,1702136896,"The flu season is winding down , and it has killed 105 children so far - about the average toll . The season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade .",before,"The current flu season is winding down , and it has killed 105 children so far - about the average toll . The year before, the season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade .",after 
169,1702137395,"Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they had found a body . Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored .",before,"Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored . Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they had found a body .",after
382,1702137308,"Israel 's prime minister has apologised to Turkey for "" any errors that could have led to loss of life "" during the 2010 commando raid on an aid flotilla that tried to breach the Gaza blockade . Benjamin Netanyahu also agreed with his Turkish counterpart Recep Tayyip Erdogan to compensate the families of the nine activists who were killed .",after,"Israel 's prime minister has apologised to Turkey for "" any errors that could have led to loss of life "" during the 2010 commando raid on an aid flotilla that tried to breach the Gaza blockade . Earlier to publication of the news, Benjamin Netanyahu agreed with his Turkish counterpart Recep Tayyip Erdogan to compensate the families of the nine activists who were killed .",before 
210,1702137270,""" We were pleased that England and New Zealand knew about it , and we thought that 's where it would stop . """,before,""" We were pleased that England and New Zealand knew about it , but we had thought that 's where it would stop . """,after
416,1702136951,"Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth . Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding .",before,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth .",after 
363,1702136949,"Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth . Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding .",before,"Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth . Just a few days before the report, New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding .",after 
85,1702137287,"A book of memoirs and photographs from the climb by Mr Lowe , which he worked on with Dr Lewis-Jones , is due to be published in May . He said : "" Lowe was a brilliant , kind fellow who never sought the limelight ... and 60 years on from Everest his achievements deserve wider recognition .",before,"Dr Lewis-Jones said : "" Lowe was a brilliant , kind fellow who never sought the limelight ... and 60 years on from Everest his achievements deserve wider recognition . "" A book of memoirs and photographs from the climb by Mr Lowe , which he worked on with Dr Lewis-Jones , is due to be published in May .",after
371,1702137629,"An hour before her colleagues gathered for their first vote of a new Congress , Senator Kelly Ayotte slipped into an empty Senate chamber to savor the grandeur of her legislative home . As Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had cast their votes , a doorman marched toward her with purpose .",before,"An hour before her colleagues gathered for their first vote of a new Congress , Senator Kelly Ayotte slipped into an empty Senate chamber to savor the grandeur of her legislative home . A doorman marched toward her with purpose , as Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had cast their votes .",before 
256,1702137501,"Memorial director Arseny Roginsky , quoted by the Russian news website Vesti , said it was "" a complete check on everything concerned with our sources of funding "" .",after,"Memorial director Arseny Roginsky , quoted by the Russian news website Vesti , said it would be "" a complete check on everything concerned with our sources of funding "" .",before
277,1702137006,Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July .,after,Evana Roth told CNN in August she thought her husband would devise the plan and be fired from his job .,before
274,1702137060,"The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been expected to shutter . A four-week , phased closure of the 149 control towers will begin on April 7 , the FAA said .",before,"The FAA on Friday announced it closed 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been expected to shutter . The four-week , phased closure of the 149 control towers had begun on April 7 , the FAA said .",after
140,1702137487,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday . A statement on the Memorial website said the inspections were directly linked to the new law on NGOs and the targeted groups ' compliance with it .",after,"A statement on the Memorial website said the inspections were directly linked to the new law on NGOs and the targeted groups ' compliance with it . Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",before
343,1702137649,"For the first time there is a woman - Senator Barbara A. Mikulski , a Maryland Democrat - in charge of the Senate Appropriations Committee , which dispenses billions of dollars annually throughout the government and has long been particularly dominated by men . Senator Patty Murray , a Washington Democrat , is the first chairwoman of the Budget Committee and is charged with shaping the Democratic strategy in the fiscal battle dominating Capitol Hill .",before,"For the first time there is a woman - Senator Barbara A. Mikulski , a Maryland Democrat - in charge of the Senate Appropriations Committee , which dispenses billions of dollars annually throughout the government and has long been particularly dominated by men . Senator Patty Murray , a Washington Democrat , is the first chairwoman of the Budget Committee and will be charged with shaping the Democratic strategy in the fiscal battle dominating Capitol Hill .",before 
189,1702137485,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",after,"Memorial says inspectors , having already seized 600 documents including accounts on Thursday , returned to its Moscow offices on Friday .",before
139,1702137489,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday . A statement on the Memorial website said the inspections were directly linked to the new law on NGOs and the targeted groups ' compliance with it .",after,"A statement on the Memorial website said the inspections were directly linked to the new law on NGOs and the targeted groups ' compliance with it . Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",before
378,1702136909,"Six of the pediatric deaths were reported in the last week , and it 's possible there will be more , said the CDC 's Dr. Michael Jhung said Friday .",before,"Six of the pediatric deaths were reported in the last week , and it 's possible there will be more , contradicting the reports made by the CDC 's Dr. Michael Jhung on Friday .",after 
120,1702137692,"While partisan division is the central characteristic of the modern Congress , women have begun to crack away at the gridlock by forming coalitions that have surprised leaders of both parties . Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military .",before,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . Women have begun to crack away at the gridlock by forming coalitions that have surprised leaders of both parties , while partisan division is the central characteristic of the modern Congress .",after
311,1702137476,The US embassy in Moscow has voiced concern and asked the Russian government for an explanation .,before,The US embassy in Moscow has voiced concern after hearing back from the Russian government .,after 
94,1702137716,"But academic researchers and scientists at companies like Microsoft , I.B.M. and Hewlett-Packard have been working to develop quantum computers . Now , Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale , becoming the first company to use quantum computing as part of its business .",before,"Now , Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale , becoming the first company to use quantum computing as part of its business . But academic researchers and scientists at companies like Microsoft , I.B.M. and Hewlett-Packard have been working to develop quantum computers .",after
134,1702137560,"In 2011 , during a round of discussions over stricter emissions standards , the China Electricity Council , which represents the companies , pushed back hard against the proposals , saying that the costs of upgrading the plants would be too high . On Feb. 28 , Deutsche Bank released an analysts ' note saying that China 's current economic policies would result in an enormous surge in coal consumption and automobile sales over the next decade .",before,"On Feb. 28 , Deutsche Bank released an analysts ' note saying that China 's current economic policies would result in an enormous surge in coal consumption and automobile sales over the next decade . In 2011 , during a round of discussions over stricter emissions standards , the China Electricity Council , which represents the companies , pushed back hard against the proposals , saying that the costs of upgrading the plants would be too high .",after
202,1702137634,"As Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had cast their votes , a doorman marched toward her with purpose .",before,"Before Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had cast their votes , a doorman marched toward her with purpose .",after
314,1702137659,"One of the biggest bills to pass the Senate last year was farm legislation led by Senator Debbie Stabenow , a Michigan Democrat who presides over the agriculture committee .",after,"One of the biggest bills to pass the Senate last year was farm legislation led by Senator Debbie Stabenow , a Michigan Democrat who presides over the agriculture committee .",after 
217,1702137179,""" In light of the Israeli investigation into the incident , which pointed out several operational errors , Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation , "" the statement said . Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement .",before,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . "" In light of the Israeli investigation into the incident , which pointed out several operational errors , Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation , "" the statement said .",after
222,1702137405,"Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored . Northern Ireland 's World Cup qualifier with Russia has been postponed until 15:00 GMT Saturday due to heavy snow .",before,"Northern Ireland 's World Cup qualifier with Russia has been postponed until 15:00 GMT Saturday due to heavy snow . Over 200,000 Belfast customers were affected by a blackout but power is starting to be restored .",vague
374,1702137347,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",before,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . Before the Israeli statement was published, the activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after 
349,1702137383,"Heavy snow is causing disruption to transport across the UK , with heavy rainfall bringing flooding to the south-west of England . Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they had found a body .",before,"Heavy snow is causing disruption to transport across the UK , with heavy rainfall bringing flooding to the south-west of England . Rescuers searching for a woman trapped in a landslide at her home in Looe , Cornwall , said they are still hopeful to find a body .",before 
119,1702137692,"While partisan division is the central characteristic of the modern Congress , women have begun to crack away at the gridlock by forming coalitions that have surprised leaders of both parties . Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military .",before,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . While partisan division is the central characteristic of the modern Congress , women have begun to crack away at the gridlock by forming coalitions that have surprised leaders of both parties .",after
178,1702137543,"Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up . Last month , after deadly air pollution hit record levels in northern China , officials led by Wen Jiabao , then the prime minister , put forward strict new fuel standards that the oil companies had blocked for years .",after,"Last month , after deadly air pollution hit record levels in northern China , officials led by Wen Jiabao , then the prime minister , put forward strict new fuel standards that the oil companies had blocked for years . Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up .",before
323,1702137711,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . A year earlier , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",after 
342,1702137440,"But this buyback programme should also allow our shareholders to see benefits in the near-term from the value we have realised by reshaping our Russian business . "" BP expects the share buyback programme could take between 12 and 18 months to complete .",before,"But this buyback programme should also allow our shareholders to see benefits in the near-term from the value we will realise by reshaping our Russian business . "" BP expects the share buyback programme could take between 12 and 18 months to complete .",after 
19,1702137301,"Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he leaves three sons from a previous marriage .",before,"Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he left three sons from a previous marriage .",after
137,1702137082,"President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just before leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla . The apology , long sought by Turkish Prime Minister Recep Erdogan , eased strained feelings between Turkey and Israel , two vital U.S. allies in the Middle East .",before,"President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just after leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla . The apology , long sought by Turkish Prime Minister Recep Erdogan , eased strained feelings between Turkey and Israel , two vital U.S. allies in the Middle East .",vague
408,1702137729,"Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation . But if it performs as Lockheed and D-Wave expect , the design could be used to supercharge even the most powerful systems , solving some science and business problems millions of times faster than can be done today .",before,"Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation . But if it performs as Lockheed and D-Wave expect , the design could be used to supercharge even the most powerful systems , solving some science and business problems millions of times faster than can have been done a decade ago .",after 
74,1702137227,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",after,"Insurers and other analysts agree that some consumers and small businesses will likely see premiums go down , and the effects of the law will vary widely .",before
293,1702137550,"Last month , after deadly air pollution hit record levels in northern China , officials led by Wen Jiabao , then the prime minister , put forward strict new fuel standards that the oil companies had blocked for years .",before,"Last month , after deadly air pollution hit record levels in northern China , officials put forward strict new fuel standards that the oil companies had blocked for years . These policies were led by Wen Jiabao , then the prime minister .",after 
146,1702137111,"Microsoft is expanding into China with a company-funded incubator program for outside developers to build products based on Kinect technology for a range of industries including health care and retail . In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants .",after,"Microsoft will be expanding into China with a company-funded incubator program for outside developers to build products based on Kinect technology for a range of industries including health care and retail . In the U.S. , 11 companies will be selected this year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants .",vague
61,1702137032,"Call me Sunday night at 8 PM at the resort , "" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing . The son 's case is still pending , the district attorney said .",before,"The son 's case is still pending , the district attorney said . "" Call me Sunday night at 8 PM at the resort , "" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing .",after
373,1702137525,"Fu Ying , the spokeswoman for the National People 's Congress , said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself .",after,"After series of debates, Fu Ying , the spokeswoman for the National People 's Congress said she checked for smog every morning after opening her curtains and kept at home face masks for her daughter and herself .",after 
35,1702137713,"This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"This year , all four of the female Senate Republicans will split with their party because they voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",after
367,1702137048,"During plea negotiations , Raymond Roth asked the district attorney 's office not to give his son jail time , Davis said . On the advice of both their attorneys , father and son have not been in contact since their arrests , Davis said .",before,"During plea negotiations , Raymond Roth is expected to ask the district attorney 's office not to give his son jail time , Davis said . On the advice of both their attorneys , father and son have not been in contact since their arrests , Davis said .",after 
296,1702137156,"Mr. Netanyahu 's office confirmed that the Israeli leader , in a conversation with Mr. Erdogan , "" agreed to restore normalization between Israel and Turkey , including the dispatch of ambassadors and the cancellation of legal steps against [ Israeli Defense Forces ] soldiers . """,after,"Mr. Netanyahu 's office predicted that the Israeli leader , in a conversation with Mr. Erdogan , "" will agree to restore normalization between Israel and Turkey , including the dispatch of ambassadors and the cancellation of legal steps against [ Israeli Defense Forces ] soldiers . """,before 
111,1702136898,"The season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade . It ended up being very hard on the elderly , but was moderately severe overall , according to the Centers for Disease Control and Prevention .",before,"The season ended up being very hard on the elderly , but was moderately severe overall , according to the Centers for Disease Control and Prevention . It started about a month earlier than usual , sparking concerns it might turn into the worst in a decade .",after
288,1702137545,"Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up . Last month , after deadly air pollution hit record levels in northern China , officials led byWen Jiabao , then the prime minister , put forward strict new fuel standards that the oil companies had blocked for years .",after,"Last month , after deadly air pollution hit record levels in northern China , officials led byWen Jiabao , then the prime minister , put forward strict new fuel standards that the oil companies had blocked for years . Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up .",before
396,1702137718,"Now , Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale , becoming the first company to use quantum computing as part of its business .",before,"Now , Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale , since D-Wave already had the evidence of using quantum computing as part of its business .",after 
385,1702136952,"Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth . Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding .",before,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth .",after 
418,1702137172,"An Israeli raid on the ship left nine passengers dead , all of them Turkish or of Turkish descent . "" In light of the Israeli investigation into the incident , which pointed out several operational errors , Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation , "" the statement said .",before,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . "" In light of the Israeli investigation into the incident , which pointed out several operational errors , Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation , "" the statement said .",after 
218,1702136922,"This flu season started in early December , a month earlier than usual , and peaked by the end of year .",before,"This flu season peaked by the end of year , and started in early December , a month earlier than usual .",after
366,1702137302,"Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he leaves three sons from a previous marriage .",before,"Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he already had three sons from a previous marriage .",after 
2,1702137622,"Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . "" The lawyer said he would appeal .",before,"Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . "" Before that, the lawyer said he would appeal .",after
284,1702137666,""" We are growing in number , "" said Senator Amy Klobuchar , Democrat of Minnesota .",before,""" We will grow in number , "" said Senator Amy Klobuchar , Democrat of Minnesota .",after
82,1702137078,President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just before leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla .,after,President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just before leaving Israel when Prime Minister Benjamin Netanyahu threatened Turkey to imprison nine activists on a Turkish vessel in a Gaza-bound flotilla .,before
8,1702137289,"He said : "" Lowe was a brilliant , kind fellow who never sought the limelight ... and 60 years on from Everest his achievements deserve wider recognition . "" He was involved in two of the most important explorations of the 20th Century ... yet remained a humble , happy man right to the end ... an inspirational lesson to us all . """,after,"He said : "" Lowe was a brilliant , kind fellow who never sought the limelight ... and 60 years on from Everest his achievements deserve wider recognition . "" He will be involved in two of the most important explorations of the 20th Century ... yet remained a humble , happy man right to the end ... an inspirational lesson to us all . """,before
294,1702137550,"Last month , after deadly air pollution hit record levels in northern China , officials led by Wen Jiabao , then the prime minister , put forward strict new fuel standards that the oil companies had blocked for years .",before,"Last month , after deadly air pollution hit record levels in northern China , officials led by Wen Jiabao , then the prime minister , applauded the efforts to put forward strict new fuel standards that the oil companies had blocked for years .",after 
182,1702137091,"The apology , long sought by Turkish Prime Minister Recep Erdogan , eased strained feelings between Turkey and Israel , two vital U.S. allies in the Middle East . It happened in a phone call to Erdogan during a final meeting between Obama and Netanyahu at Ben Gurion International Airport in Tel Aviv minutes before Air Force One departed for Jordan to complete the president 's Middle East swing .",before,"It happened in a phone call to Erdogan during a final meeting between Obama and Netanyahu at Ben Gurion International Airport in Tel Aviv minutes before Air Force One departed for Jordan to complete the president 's Middle East swing . The apology , long sought by Turkish Prime Minister Recep Erdogan , eased strained feelings between Turkey and Israel , two vital U.S. allies in the Middle East .",after
369,1702137468,"He eventually fled the country in 2008 . But the tie-up with Rosneft will keep BP in Russia , allowing it to continue to explore and exploit the country 's vast energy resources , including in the Arctic region .",before,"While he's planning to eventually flee the country soon, the tie-up with Rosneft will keep BP in Russia , allowing it to continue to explore and exploit the country 's vast energy resources , including in the Arctic region .",after 
114,1702137613,"Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler . Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . """,before,"Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler . Mr. Sarkozy 's lawyer , Thierry Herzog , had previously called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , "" incoherent "" and "" unjust . """,after
159,1702137564,"On Feb. 28 , Deutsche Bank released an analysts ' note saying that China 's current economic policies would result in an enormous surge in coal consumption and automobile sales over the next decade . "" China 's air pollution will become a lot worse from the already unbearable level , "" the analysts said , calling for drastic policy changes and "" a strong government will to overcome the opposition from interest groups . """,after,""" China 's air pollution will become a lot worse from the already unbearable level , "" an analysts said , calling for drastic policy changes and "" a strong government will to overcome the opposition from interest groups . "" On Feb. 28 , Deutsche Bank released the analysts ' note saying that China 's current economic policies would result in an enormous surge in coal consumption and automobile sales over the next decade .",before
100,1702136960,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding .",after,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been speeding and pulled over .",before
